run_id,date,git_commit,stage,result_type,model_family,model_id,input_source,crop_policy,prompt_id,train_data,val_data,selection_protocol,parse_success,schema_valid,accuracy,macro_f1,recall_insulator_ok,recall_defect_flashover,recall_defect_broken,confusion_matrix_path,predictions_path,notes
stage3_qwen_val_v2_clean_final,2026-04-30,994ad92,stage3,clean_final,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,gt_crops,gt_crop_pad015,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,none,val_v2_clean_58,frozen_prompt_clean,1.0000,1.0000,0.4655,0.2882_eval5 / 0.4804_3class,0.3438,0.6500,0.5000,outputs/_external_runs/stage3_clean_final_v7f/eval/confusion_coarse_class.csv,outputs/_external_runs/stage3_clean_final_v7f/predictions_vlm_labels_v1.jsonl,clean Qwen reporter baseline; 3-class macro from paired script differs from evaluator macro including unknown/other
stage4_context_pad030_maxpix401k,2026-04-30,994ad92,stage4,clean_final,qwen_vl,Qwen/Qwen2.5-VL-3B-Instruct,detector_pred_crops,pred_context_pad030_maxpix401k,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,none,val_v2_clean_58,frozen_prompt_clean,1.0000,1.0000,0.3966_pipeline_correct,,,,,outputs/_external_runs/stage4_context_pad030_maxpix401k_short/eval_kaggle/stage4_case_table.csv,outputs/_external_runs/stage4_context_pad030_maxpix401k_short/pred_vlm/predictions_vlm_labels_v1.jsonl,best Stage4 actual context crop baseline
stage3_clip_train_selected_clean,2026-04-30,994ad92,stage3_coarse_only,clean_final,clip_linear_probe,openai/clip-vit-base-patch32 + LogisticRegression C=10 balanced,gt_crops,gt_crop_existing,none,train_balanced_v2,val_v2_clean_58,5fold_stratified_train_cv_macro_f1,n/a,n/a,0.5345,0.3713,0.5938,0.6000,0.0000,reports/stage3_adaptation_branch/train_selected_val_confusion_matrix.csv,reports/stage3_adaptation_branch/train_selected_val_predictions_selected_by_train_cv.csv,coarse-only classifier; strongest clean discriminative signal but broken recall zero
stage3_hybrid_hard_clip_qwen,2026-04-30,994ad92,stage3_hybrid,clean_final_partial_system,clip_plus_qwen_reporter,openai/clip-vit-base-patch32 logreg C=10 balanced + Qwen2.5-VL-3B reporter,gt_crops,gt_crop_existing,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 for classifier; none for Qwen,val_v2_clean_58,hard classifier override selected by train CV only,1.0000,1.0000,0.5345,0.2228_eval5 / 0.3713_3class,0.5938,0.6000,0.0000,reports/operation_next/hybrid_stage3_hard_clip_qwen/eval/confusion_coarse_class.csv,reports/operation_next/hybrid_stage3_hard_clip_qwen/predictions_vlm_labels_v1.jsonl,improves accuracy but fails full-system gate because broken recall is zero and macro-F1 drops vs Qwen 3-class
stage3_qwen25vl_3b_lora_masked_smoke_clean,2026-04-30,994ad92,stage3_lora,failed_preflight,qwen_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA r=8,gt_crops,gt_crop_existing,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 first 120,overfit_5_then_val_if_gate_passes,assistant-only label mask smoke; overfit gate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,outputs/_external_runs/stage3_qwen25vl_3b_lora_masked_smoke_v24/stage3_qwen_lora_package/stage3_qwen25vl_3b_lora_masked_smoke_clean/eval/confusion_coarse_class.csv,outputs/_external_runs/stage3_qwen25vl_3b_lora_masked_smoke_v24/stage3_qwen_lora_package/stage3_qwen25vl_3b_lora_masked_smoke_clean/overfit_check_predictions_vlm_labels_v1.jsonl,overfit gate failed; repeated punctuation; full val skipped
stage3_qwen25vl_3b_lora_overfit_gate_clean_v25,2026-04-30,994ad92,stage3_lora,smoke_failed_semantic_gate,qwen_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA r=4 q_proj/v_proj,gt_crops,gt_crop_existing,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 overfit_5,overfit_5_only_full_val_skipped,assistant-only label mask; 5-sample overfit gate before val,1.0000,1.0000,0.4000_overfit,not_comparable_overfit_smoke,0.0000_overfit,1.0000_overfit,0.0000_overfit,,outputs/_kaggle_outputs/stage3_qwen25vl_3b_lora_overfit_gate_v25/stage3_qwen_lora_overfit_gate_package/stage3_qwen25vl_3b_lora_overfit_gate_clean/predictions_vlm_labels_v1.jsonl,"parse gate fixed: 5/5 valid JSON; semantic gate failed: 2/5 coarse correct, all predictions collapsed to defect_flashover; full val skipped"
stage4_hybrid_dinov2_qwen_light_pad030,2026-04-30,ce54f15,stage4_hybrid,clean_final_candidate,dinov2_linear_probe_plus_qwen_reporter,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter,detector_pred_crops,pred_context_pad030_maxpix401k,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 for DINOv2 classifier; none for frozen Qwen reporter,val_v2_clean_58,DINOv2 selected by clean Stage3 backbone sweep; Stage4 run uses frozen detector predictions and Qwen reporter outputs,1.0000,1.0000,0.4828_pipeline_correct,0.4671_3class / 0.3504_all_with_nan,0.1875,0.9500,0.5000,reports/operation_next/stage4_hybrid_dinov2_qwen_light_pad030/stage4_case_table.csv,reports/operation_next/stage4_hybrid_dinov2_qwen_light_pad030/predictions_vlm_labels_v1.jsonl,"strong Stage4 gate pass: 28/58 vs Qwen baseline 23/58; gain comes from flashover recall, but ok precision/recall trade-off remains severe"
stage4_hybrid_dinov2_qwen_policy_pad030_veto034,2026-05-01,ce54f15,stage4_hybrid,clean_final_candidate_policy_probe,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter + qwen-ok low-confidence flashover veto,detector_pred_crops,pred_context_pad030_maxpix401k,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 for DINOv2 classifier; none for frozen Qwen reporter,val_v2_clean_58,policy was motivated by prior diagnostic val probe; treat as candidate needing train-CV/pre-registered confirmation before final claim,1.0000,1.0000,0.5000_pipeline_correct,0.4844_3class / 0.3633_all_with_nan,0.2188,0.9500,0.5000,reports/operation_next/stage4_hybrid_dinov2_qwen_policy_pad030/qwen_ok_veto_flash_lt034/stage4_case_table.csv,reports/operation_next/stage4_hybrid_dinov2_qwen_policy_pad030/qwen_ok_veto_flash_lt034/predictions_vlm_labels_v1.jsonl,new best Stage4 candidate: 29/58 vs Qwen baseline 23/58 and hard DINOv2 28/58; improves one ok case while preserving flashover 19/20 and broken 3/6; policy selection needs clean confirmation
stage4_hybrid_dinov2_qwen_traincv_policy_pad030_secondbest035,2026-05-01,ce54f15,stage4_hybrid,clean_traincv_policy_candidate,dinov2_linear_probe_plus_qwen_reporter_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + Qwen2.5-VL-3B reporter + train-CV low-confidence flashover second-best fallback,detector_pred_crops,pred_context_pad030_maxpix401k,qwen_vlm_labels_v1_prompt_v7f_flashover_unclear_to_unknown_nocroppath,train_balanced_v2 for DINOv2 classifier and train OOF threshold selection; none for frozen Qwen reporter,val_v2_clean_58,threshold 0.35 selected by train OOF macro-F1 before Stage4 val application,1.0000,1.0000,0.5862_pipeline_correct,0.5922_3class / 0.4441_all_with_nan,0.4688,0.7000,0.8333,reports/operation_next/stage4_hybrid_dinov2_qwen_traincv_policy_pad030/dinov2_flash_lowconf_second_best_cv0p35/stage4_case_table.csv,missing_in_downloaded_package_for_best_policy; rerun packaging if needed,"new strongest Stage4 result: 34/58 vs Qwen baseline 23/58; train-CV selected threshold; improves class balance but best-policy prediction jsonl was not packaged, case/eval artifacts are present"
stage3_dinov2_traincv_policy_clean_secondbest035,2026-05-01,ce54f15,stage3_coarse_only,clean_traincv_policy_candidate,dinov2_linear_probe_policy,facebook/dinov2-base LogisticRegression C=0.03 balanced + train-CV low-confidence flashover second-best fallback,gt_crops,gt_crop_existing,none,train_balanced_v2 for DINOv2 classifier and train OOF threshold selection,val_v2_clean_58,threshold 0.35 selected by train OOF macro-F1 before Stage3 val application,n/a,n/a,0.5517,0.5766_3class,0.4062,0.6500,1.0000,reports/operation_next/stage3_dinov2_traincv_policy_clean/flash_lowconf_second_best_cv0p35/confusion_matrix.csv,reports/operation_next/stage3_dinov2_traincv_policy_clean/flash_lowconf_second_best_cv0p35/val_predictions.csv,"clean Stage3 coarse-only control for DINOv2 train-CV policy; improves macro-F1 and broken recall vs hard DINOv2, but still confuses ok/flashover"
