record_id,gt_coarse_class,gt_visibility,change_bucket,matched_pred_record_id_tight,pred_vlm_coarse_class_tight,pred_vlm_visibility_tight,matched_pred_record_id_context,pred_vlm_coarse_class_context,pred_vlm_visibility_context,ceiling_coarse_class_tight,ceiling_correct_tight
train_img3_ann17,defect_broken,clear,both_correct,val_img2_pred2,defect_broken,clear,val_img2_pred2,defect_broken,clear,defect_broken,True
val_img10_ann1040,defect_flashover,ambiguous,both_correct,val_img5_pred2,defect_flashover,ambiguous,val_img5_pred2,defect_flashover,ambiguous,defect_flashover,True
val_img10_ann1041,defect_flashover,ambiguous,both_correct,val_img5_pred10,defect_flashover,ambiguous,val_img5_pred10,defect_flashover,ambiguous,defect_flashover,True
val_img17_ann1049,defect_flashover,clear,both_correct,val_img6_pred15,defect_flashover,clear,val_img6_pred15,defect_flashover,clear,defect_flashover,True
val_img17_ann1056,defect_flashover,partial,both_correct,val_img6_pred4,defect_flashover,clear,val_img6_pred4,defect_flashover,clear,defect_flashover,True
val_img33_ann1072,defect_flashover,partial,both_correct,val_img8_pred14,defect_flashover,clear,val_img8_pred14,defect_flashover,clear,defect_flashover,True
val_img9_ann1038,defect_flashover,ambiguous,both_correct,val_img4_pred2,defect_flashover,clear,val_img4_pred2,defect_flashover,clear,defect_flashover,True
train_img3_ann15,insulator_ok,clear,both_correct,val_img2_pred18,insulator_ok,clear,val_img2_pred18,insulator_ok,clear,insulator_ok,True
val_img17_ann1047,insulator_ok,clear,both_correct,val_img6_pred10,insulator_ok,clear,val_img6_pred10,insulator_ok,clear,insulator_ok,True
val_img17_ann1048,insulator_ok,clear,both_correct,val_img6_pred21,insulator_ok,clear,val_img6_pred21,insulator_ok,clear,defect_broken,False
val_img17_ann1057,insulator_ok,clear,both_correct,val_img6_pred8,insulator_ok,clear,val_img6_pred8,insulator_ok,clear,insulator_ok,True
val_img31_ann1060,insulator_ok,clear,both_correct,val_img7_pred3,insulator_ok,clear,val_img7_pred3,insulator_ok,clear,insulator_ok,True
val_img31_ann1062,insulator_ok,clear,both_correct,val_img7_pred1,insulator_ok,clear,val_img7_pred1,insulator_ok,clear,insulator_ok,True
