record_id,image_id,box_id,gt_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,change_bucket,qwen_visibility,candidate_visibility,qwen_tags,candidate_tags,crop_path_hidden_from_prompt,notes
train_img1_ann1,1,ann1,defect_broken,defect_flashover,unknown,False,False,both_wrong_different,clear,clear,burn_like_mark|dark_surface_trace,low_contrast|unclear_boundary,True,
train_img1_ann2,1,ann2,defect_broken,defect_flashover,unknown,False,False,both_wrong_different,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace,True,
train_img1_ann3,1,ann3,insulator_ok,defect_broken,unknown,False,False,both_wrong_different,clear,clear,missing_fragment|edge_discontinuity|broken_profile,dark_surface_trace,True,
train_img1_ann4,1,ann4,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
train_img1_ann5,1,ann5,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,ambiguous,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
train_img1_ann6,1,ann6,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,clean_surface|regular_disc_shape|no_visible_break|no_visible_burn_mark|uniform_appearance,clean_surface|uniform_appearance,True,
train_img3_ann15,3,ann15,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,intact_structure|clean_surface,True,
train_img3_ann16,3,ann16,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
train_img3_ann17,3,ann17,defect_broken,defect_broken,defect_broken,True,True,both_right_same,clear,clear,missing_fragment|edge_discontinuity|broken_profile,missing_fragment|edge_discontinuity,True,
train_img3_ann18,3,ann18,defect_broken,defect_broken,defect_flashover,True,False,hurt_right_to_wrong,clear,clear,missing_fragment|edge_discontinuity|broken_profile,dark_surface_trace|localized_darkening,True,
train_img3_ann19,3,ann19,defect_broken,defect_flashover,defect_flashover,False,False,both_wrong_same,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
train_img3_ann20,3,ann20,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,ambiguous,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
train_img5_ann45,5,ann45,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
train_img5_ann46,5,ann46,insulator_ok,defect_flashover,insulator_ok,False,True,helped_wrong_to_right,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
train_img5_ann47,5,ann47,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
train_img5_ann48,5,ann48,defect_flashover,unknown,insulator_ok,False,False,both_wrong_different,clear,clear,clean_surface|regular_disc_shape|no_visible_break|no_visible_burn_mark|uniform_appearance,clean_surface|uniform_appearance,True,
train_img5_ann49,5,ann49,defect_flashover,insulator_ok,insulator_ok,False,False,both_wrong_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
train_img5_ann50,5,ann50,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img10_ann1039,10,ann1039,insulator_ok,unknown,defect_flashover,False,False,both_wrong_different,ambiguous,clear,blurred_region|low_contrast,dark_surface_trace|localized_darkening,True,
val_img10_ann1040,10,ann1040,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img10_ann1041,10,ann1041,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img10_ann1042,10,ann1042,insulator_ok,unknown,unknown,False,False,both_wrong_same,ambiguous,clear,blurred_region|low_contrast,low_contrast|unclear_boundary,True,
val_img10_ann1043,10,ann1043,insulator_ok,defect_flashover,defect_flashover,False,False,both_wrong_same,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img10_ann1044,10,ann1044,insulator_ok,defect_flashover,unknown,False,False,both_wrong_different,ambiguous,clear,burn_like_mark|dark_surface_trace,dark_surface_trace,True,
val_img17_ann1045,17,ann1045,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img17_ann1046,17,ann1046,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img17_ann1047,17,ann1047,insulator_ok,insulator_ok,insulator_ok,True,True,both_right_same,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,clean_surface|uniform_appearance,True,
val_img17_ann1048,17,ann1048,insulator_ok,defect_broken,insulator_ok,False,True,helped_wrong_to_right,clear,clear,missing_fragment|edge_discontinuity|broken_profile,clean_surface|uniform_appearance,True,
val_img17_ann1049,17,ann1049,defect_flashover,defect_flashover,insulator_ok,True,False,hurt_right_to_wrong,clear,clear,burn_like_mark|dark_surface_trace,clean_surface|uniform_appearance,True,
val_img17_ann1050,17,ann1050,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img17_ann1051,17,ann1051,defect_flashover,defect_flashover,defect_flashover,True,True,both_right_same,clear,clear,burn_like_mark|dark_surface_trace,dark_surface_trace|localized_darkening,True,
val_img17_ann1052,17,ann1052,defect_flashover,insulator_ok,defect_flashover,False,True,helped_wrong_to_right,clear,clear,intact_structure|regular_disc_shape|no_visible_break|no_visible_burn_mark|clean_surface,dark_surface_trace|localized_darkening,True,
