path,line,pattern,category,snippet
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,1,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann1"", ""image_id"": 1, ""box_id"": ""ann1"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1495.0, 786.0, 534.0, 252.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann1.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,1,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann1"", ""image_id"": 1, ""box_id"": ""ann1"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1495.0, 786.0, 534.0, 252.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann1.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,1,defect_broken/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann1"", ""image_id"": 1, ""box_id"": ""ann1"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1495.0, 786.0, 534.0, 252.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann1.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,2,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann2"", ""image_id"": 1, ""box_id"": ""ann2"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1509.0, 516.0, 540.0, 313.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann2.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,2,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann2"", ""image_id"": 1, ""box_id"": ""ann2"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1509.0, 516.0, 540.0, 313.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann2.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,2,defect_broken/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann2"", ""image_id"": 1, ""box_id"": ""ann2"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1509.0, 516.0, 540.0, 313.0], ""crop_path"": ""crops/val/defect_broken/train_img1_ann2.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,3,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann3"", ""image_id"": 1, ""box_id"": ""ann3"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1483.0, 1252.0, 522.0, 375.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann3.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,3,crops/val,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann3"", ""image_id"": 1, ""box_id"": ""ann3"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1483.0, 1252.0, 522.0, 375.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann3.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,3,insulator_ok/,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann3"", ""image_id"": 1, ""box_id"": ""ann3"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1483.0, 1252.0, 522.0, 375.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann3.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
outputs\_external_runs\stage3_qwen25vl_lora_sft_repair_clean_corrected\predictions_vlm_labels_v1.jsonl,4,crop_path,metadata_or_eval_artifact,"{""record_id"": ""train_img1_ann4"", ""image_id"": 1, ""box_id"": ""ann4"", ""source"": ""gt"", ""split"": ""val"", ""bbox_xywh"": [1491.0, 1011.0, 521.0, 271.0], ""crop_path"": ""crops/val/insulator_ok/train_img1_ann4.jpg"", ""image_path"": ""000006140d.JPG"", ""score"
